FileStatus,LeftFileName,RightFileName,LeftFilePath,RightFilePath,LeftNumberOfLines,RightNumberOfLines,LeftFileNamePWeaver,LeftLeafFileName,RightLeafFileName
Both,#pwss#.nspc.xml,#pweaver#.nspc.xml,D:\Work\SAP\ABB\elemicatms-xc-sap-abb-in-pwss-sprocf\src\#pwss#.nspc.xml,D:\Work\SAP\BaseCode\elemicatms-xc-sap-uiett\src\#pweaver#.nspc.xml,16,16,#pweaver#.nspc.xml,.nspc.xml,.nspc.xml
Both,#pwss#ecsltl.fugr.#pwss#cancel_nacex.abap,#pweaver#ecsltl.fugr.#pweaver#cancel_nacex.abap,D:\Work\SAP\ABB\elemicatms-xc-sap-abb-in-pwss-carrierfm\src\#pwss#ecsltl.fugr.#pwss#cancel_nacex.abap,D:\Work\SAP\BaseCode\elemicatms-xc-sap-ecs\src\#pweaver#ecsltl.fugr.#pweaver#cancel_nacex.abap,249,249,#pweaver#ecsltl.fugr.#pweaver#cancel_nacex.abap,cancel_nacex.abap,cancel_nacex.abap
Both,#pwss#ecsltl.fugr.#pwss#estes_tracing.abap,#pweaver#ecsltl.fugr.#pweaver#estes_tracing.abap,D:\Work\SAP\ABB\elemicatms-xc-sap-abb-in-pwss-carrierfm\src\#pwss#ecsltl.fugr.#pwss#estes_tracing.abap,D:\Work\SAP\BaseCode\elemicatms-xc-sap-ecs\src\#pweaver#ecsltl.fugr.#pweaver#estes_tracing.abap,176,175,#pweaver#ecsltl.fugr.#pweaver#estes_tracing.abap,estes_tracing.abap,estes_tracing.abap
Both,#pwss#ecsltl.fugr.#pwss#estes_transit_time.abap,#pweaver#ecsltl.fugr.#pweaver#estes_transit_time.abap,D:\Work\SAP\ABB\elemicatms-xc-sap-abb-in-pwss-carrierfm\src\#pwss#ecsltl.fugr.#pwss#estes_transit_time.abap,D:\Work\SAP\BaseCode\elemicatms-xc-sap-ecs\src\#pweaver#ecsltl.fugr.#pweaver#estes_transit_time.abap,210,210,#pweaver#ecsltl.fugr.#pweaver#estes_transit_time.abap,estes_transit_time.abap,estes_transit_time.abap
Both,#pwss#ecsltl.fugr.#pwss#lecsltlf01.abap,#pweaver#ecsltl.fugr.#pweaver#lecsltlf01.abap,D:\Work\SAP\ABB\elemicatms-xc-sap-abb-in-pwss-carrierfm\src\#pwss#ecsltl.fugr.#pwss#lecsltlf01.abap,D:\Work\SAP\BaseCode\elemicatms-xc-sap-ecs\src\#pweaver#ecsltl.fugr.#pweaver#lecsltlf01.abap,2192,2362,#pweaver#ecsltl.fugr.#pweaver#lecsltlf01.abap,lecsltlf01.abap,lecsltlf01.abap
Both,#pwss#ecsltl.fugr.#pwss#lecsltlf01.xml,#pweaver#ecsltl.fugr.#pweaver#lecsltlf01.xml,D:\Work\SAP\ABB\elemicatms-xc-sap-abb-in-pwss-carrierfm\src\#pwss#ecsltl.fugr.#pwss#lecsltlf01.xml,D:\Work\SAP\BaseCode\elemicatms-xc-sap-ecs\src\#pweaver#ecsltl.fugr.#pweaver#lecsltlf01.xml,21,21,#pweaver#ecsltl.fugr.#pweaver#lecsltlf01.xml,lecsltlf01.xml,lecsltlf01.xml
Both,#pwss#ecsltl.fugr.#pwss#lecsltlf02.abap,#pweaver#ecsltl.fugr.#pweaver#lecsltlf02.abap,D:\Work\SAP\ABB\elemicatms-xc-sap-abb-in-pwss-carrierfm\src\#pwss#ecsltl.fugr.#pwss#lecsltlf02.abap,D:\Work\SAP\BaseCode\elemicatms-xc-sap-ecs\src\#pweaver#ecsltl.fugr.#pweaver#lecsltlf02.abap,245,245,#pweaver#ecsltl.fugr.#pweaver#lecsltlf02.abap,lecsltlf02.abap,lecsltlf02.abap
Both,#pwss#ecsltl.fugr.#pwss#lecsltlf02.xml,#pweaver#ecsltl.fugr.#pweaver#lecsltlf02.xml,D:\Work\SAP\ABB\elemicatms-xc-sap-abb-in-pwss-carrierfm\src\#pwss#ecsltl.fugr.#pwss#lecsltlf02.xml,D:\Work\SAP\BaseCode\elemicatms-xc-sap-ecs\src\#pweaver#ecsltl.fugr.#pweaver#lecsltlf02.xml,21,21,#pweaver#ecsltl.fugr.#pweaver#lecsltlf02.xml,lecsltlf02.xml,lecsltlf02.xml
Both,#pwss#ecsltl.fugr.#pwss#lecsltlf03.abap,#pweaver#ecsltl.fugr.#pweaver#lecsltlf03.abap,D:\Work\SAP\ABB\elemicatms-xc-sap-abb-in-pwss-carrierfm\src\#pwss#ecsltl.fugr.#pwss#lecsltlf03.abap,D:\Work\SAP\BaseCode\elemicatms-xc-sap-ecs\src\#pweaver#ecsltl.fugr.#pweaver#lecsltlf03.abap,105,105,#pweaver#ecsltl.fugr.#pweaver#lecsltlf03.abap,lecsltlf03.abap,lecsltlf03.abap
Both,#pwss#ecsltl.fugr.#pwss#lecsltlf03.xml,#pweaver#ecsltl.fugr.#pweaver#lecsltlf03.xml,D:\Work\SAP\ABB\elemicatms-xc-sap-abb-in-pwss-carrierfm\src\#pwss#ecsltl.fugr.#pwss#lecsltlf03.xml,D:\Work\SAP\BaseCode\elemicatms-xc-sap-ecs\src\#pweaver#ecsltl.fugr.#pweaver#lecsltlf03.xml,21,21,#pweaver#ecsltl.fugr.#pweaver#lecsltlf03.xml,lecsltlf03.xml,lecsltlf03.xml
